"","County","PollutionScore","Pollution_County","CountyPercentile"
"479","Santa Barbara",4.385440443,51.5,0.476851851851852
"480","Orange ",5.138520418,226,0.371710526315789
"481","Los Angeles",7.909256711,2222,0.884906411788132
"482","San Mateo",4.68684459766667,96,0.554913294797688
"483","Kern ",6.708137764,193.5,0.796296296296296
"484","Kern ",7.065494863,216,0.888888888888889
"485","Orange ",7.81071423,585,0.962171052631579
"486","Los Angeles",7.36310694,1973,0.785742731979291
"487","Siskiyou ",4.733230595,12,0.75
"488","Los Angeles",5.8385671695,835,0.332536837913182
"489","Alameda ",6.382638927,362,0.925831202046036
"490","Contra Costa",4.02622864933333,95,0.41304347826087
"491","Sacramento ",5.527346307,301.5,0.826027397260274
"492","San Diego",4.971086831,449,0.609226594301221
"493","Kern ",5.577229567,137.5,0.565843621399177
"494","San Diego",3.652841568,168.5,0.228629579375848
"495","Solano ",5.4814138335,83,0.873684210526316
"496","Los Angeles",6.862253423,1644,0.654719235364397
"497","San Mateo",6.923398872,168.5,0.973988439306358
"498","Kern ",4.903131836,73,0.300411522633745
"499","Los Angeles",5.833052161,828,0.329749103942652
"500","Sacramento ",1.822145973,6,0.0164383561643836
"501","San Diego",5.751226276,619.5,0.840569877883311
"502","Los Angeles",5.935164051,905,0.360414177618479
"503","Fresno ",5.526182334,82,0.36283185840708
"504","El Dorado",2.396276826,8,0.148148148148148
"505","Riverside ",5.443804593,375,0.723938223938224
"506","Los Angeles",5.327567406,489,0.194743130227001
"507","Los Angeles",6.837669661,1632,0.649940262843489
"508","Riverside ",3.382995017,111.5,0.215250965250965
"509","Sacramento ",4.2762733095,182,0.498630136986301
"510","San Mateo",4.939694206,115,0.664739884393064
"511","Los Angeles",5.803811247,809,0.322182397451215
"512","Orange ",4.726203854,164,0.269736842105263
"513","Los Angeles",6.202650029,1115,0.444046196734369
"514","Los Angeles",7.115624651,1830,0.728793309438471
"515","Orange ",5.192913956,235,0.386513157894737
"516","Lake ",3.28109446466667,7,0.333333333333333
"517","Sacramento ",6.810498705,356.5,0.976712328767123
"518","Placer ",3.8334541875,59,0.641304347826087
"519","Los Angeles",7.437189452,2006,0.798884906411788
"520","Tulare ",7.012400867,79,0.782178217821782
"521","Los Angeles",6.577952389,1440,0.573476702508961
"522","San Bernardino",4.774238382,156,0.342105263157895
"523","Santa Clara",4.084513883,162,0.398034398034398
"524","Los Angeles",7.714013579,2144.5,0.854042214257268
"525","Contra Costa",3.023973912,35,0.152173913043478
"526","Yuba ",7.813175196,18,1
"527","San Diego",4.488653093,339,0.459972862957938
"528","San Diego",3.971506878,220,0.298507462686567
"529","Los Angeles",5.353003261,504,0.200716845878136
"530","Los Angeles",6.256922708,1158.5,0.46136997212266
"531","San Bernardino",5.878077729,289,0.633771929824561
"532","Los Angeles",5.699624059,736,0.293110314615691
"533","Los Angeles",6.466781768,1361,0.542015133412983
